['0', 2.1437809330837543, array([ 1.94756247, -0.67326118]), array([0.26899628, 0.21875793]), 'w', 0]
['56', 1.8075932590691224, array([0.371266  , 3.98529927]), array([0.22566877, 0.2507403 ]), 'w', 0]
['57', 2.0041133019237973, array([ 2.32744816, -1.08344424]), array([0.26268699, 0.37966029]), 'w', 0]
['58', 2.0095207057288964, array([-1.91869059,  2.11370994]), array([0.14815224, 0.21856966]), 'w', 0]
['59', 1.924219185610034, array([3.3595044 , 3.54105302]), array([0.23752106, 0.35925443]), 'w', 0]
['60', 1.9183649584482076, array([2.88371563, 2.51622042]), array([0.10036349, 0.20120597]), 'w', 0]
['61', 2.024809615072021, array([ 0.50381621, -0.85926509]), array([0.10459658, 0.20304673]), 'w', 0]
['62', 1.931413416627044, array([3.60960814, 2.90040575]), array([0.10110164, 0.39999969]), 'w', 0]
['63', 1.8551172497132549, array([-1.78380708,  2.44625817]), array([0.10953749, 0.39987812]), 'w', 0]
['64', 2.037480014960878, array([-0.98473718, -0.10318943]), array([0.22593999, 0.23060199]), 'w', 0]
['65', 1.890188549962094, array([ 1.71871504, -0.78603332]), array([0.13993801, 0.38108926]), 'w', 0]
['66', 1.896728845996843, array([0.17668551, 3.94705695]), array([0.18789458, 0.34389059]), 'w', 0]
['67', 1.7153551657135229, array([3.93763653, 2.53578405]), array([0.2374458, 0.2061445]), 'w', 0]
['68', 2.055853754681406, array([ 0.89201501, -0.48174758]), array([0.10455755, 0.39126148]), 'w', 0]
['69', 1.9280138345371485, array([-1.69662368,  3.72173303]), array([0.20474151, 0.38885174]), 'w', 0]
['70', 2.016327361076229, array([0.80225599, 3.62609715]), array([0.21729334, 0.26131975]), 'w', 0]
['71', 2.257995909897961, array([-0.91380662,  3.29485482]), array([0.13925822, 0.39770121]), 'w', 0]
['72', 1.882664214963318, array([0.17127017, 3.55539637]), array([0.25727022, 0.20461518]), 'w', 0]
['73', 2.138260353593969, array([-1.15192354,  2.13554511]), array([0.2576749 , 0.35142553]), 'w', 0]
['74', 1.995793052700712, array([1.69364255, 3.67994716]), array([0.27480406, 0.2013375 ]), 'w', 0]
['75', 1.7588021811887955, array([0.45455882, 3.30836747]), array([0.11639597, 0.20853579]), 'w', 0]
['76', 2.178822699198767, array([ 2.55186724, -0.44329445]), array([0.20041608, 0.2409582 ]), 'w', 0]
['77', 1.801094749398965, array([3.97305464, 3.99230546]), array([0.10067057, 0.23847423]), 'w', 0]
['78', 1.9161841550333392, array([ 2.48831907, -0.77061743]), array([0.12484687, 0.20515804]), 'w', 0]
['79', 1.9816798844485013, array([2.16821551, 3.71379286]), array([0.16553132, 0.21386833]), 'w', 0]
['80', 2.0772726704729454, array([1.9672921, 3.9288486]), array([0.28024049, 0.39314919]), 'w', 0]
['81', 1.9963688323321196, array([2.96860002, 3.41411521]), array([0.21396235, 0.20472546]), 'w', 0]
['82', 1.9741497847756104, array([-0.21475398, -1.9806262 ]), array([0.12571564, 0.20109761]), 'w', 0]
['83', 2.2058966116142904, array([-0.03526415, -1.84065029]), array([0.12049617, 0.38556881]), 'w', 0]
['84', 1.9961671445360667, array([-0.16022229,  2.86640669]), array([0.14755159, 0.2104985 ]), 'w', 0]
['85', 1.847076732827514, array([-0.28669825, -1.84976549]), array([0.24097287, 0.39911814]), 'w', 0]
['86', 1.9648703455743497, array([ 3.18240297, -1.98685284]), array([0.18375162, 0.39999151]), 'w', 0]
['87', 2.077526268984492, array([0.5262169 , 3.92664306]), array([0.24645427, 0.2356035 ]), 'w', 0]
['88', 1.9372373697975904, array([-0.23666846,  2.79502497]), array([0.16453952, 0.2030436 ]), 'w', 0]
['89', 1.9712574666502696, array([2.06413505, 2.85659197]), array([0.194559  , 0.37985472]), 'w', 0]
['90', 2.0049609036078984, array([ 1.8717404, -1.281884 ]), array([0.14877456, 0.39976427]), 'w', 0]
['91', 2.292545842222467, array([-1.60866295,  2.71932278]), array([0.15987267, 0.24206985]), 'w', 0]
['92', 1.9605831447512705, array([1.76841274, 2.88756727]), array([0.21900537, 0.2131455 ]), 'w', 0]
['93', 1.9954729050243607, array([ 2.36875446, -0.17318903]), array([0.11574578, 0.21192061]), 'w', 0]
['94', 2.1900389565590026, array([ 2.75719971, -0.84928846]), array([0.18063598, 0.36739902]), 'w', 0]
['95', 2.083683147553654, array([3.39586886, 1.6025299 ]), array([0.14304087, 0.20017177]), 'w', 0]
['96', 1.923671752749692, array([-1.98025609,  3.96252786]), array([0.10333756, 0.20952585]), 'w', 0]
['97', 2.091221404402603, array([2.3847529 , 3.52116638]), array([0.29071824, 0.20595199]), 'w', 0]
['98', 1.8648022507112407, array([-1.79795482,  2.44879105]), array([0.13536541, 0.38206451]), 'w', 0]
['99', 1.7777716014562177, array([3.44351452, 3.98810958]), array([0.26665193, 0.39999784]), 'w', 0]
mode = Simulation   method = Eiler
All saved in  /Users/ilyabelov/PycharmProjects/N-body/Plots/Simulation/2023-07-05 09:01:50.810528
N = 100   time_direction = 1   end_time = 10.0   time_step = 5e-05   delta_cur = 0   inum = s   pulse_table = False
